i18n_key,command_id,icon,icon_after,th_now,th_new,en_now,en_new,note
ui.aiChatPanel.restartClearDialogue,,refresh,,↻ เริ่มใหม่ (ล้างบทสนทนา),เริ่มใหม่ (ล้างบทสนทนา),↻ เริ่มใหม่ (ล้างบทสนทนา),เริ่มใหม่ (ล้างบทสนทนา),
ui.aiChatPanel.resultCmdSendBack,,return,,↩ ผลคำสั่งที่ส่งกลับให้โมเดล,ผลคำสั่งที่ส่งกลับให้โมเดล,↩ ผลคำสั่งที่ส่งกลับให้โมเดล,ผลคำสั่งที่ส่งกลับให้โมเดล,
ui.aiChatPanel.sessionNew,,plus,,➕ เซสชันใหม่,เซสชันใหม่,➕ เซสชันใหม่,เซสชันใหม่,
ui.aiChatPanel.systemPromptSendRound,,cog,,⚙ system prompt ที่ส่งไปรอบนี้,system prompt ที่ส่งไปรอบนี้,⚙ system prompt ที่ส่งไปรอบนี้,system prompt ที่ส่งไปรอบนี้,
ui.aiChatPanel.unlockFullAIDel,,error,,⚠ ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม,ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม,⚠ ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม,ปลดล็อกเต็มที่ — AI ลบของได้เองโดยไม่ถาม,
ui.aiChatPanel.unlockFullDoAll,,lock-open,,🔓 ปลดล็อกเต็มที่ — ทำได้ทุกอย่างรวมทั้งลบ (ของไปถังขยะ กู้คืนได้),ปลดล็อกเต็มที่ — ทำได้ทุกอย่างรวมทั้งลบ (ของไปถังขยะ กู้คืนได้),🔓 ปลดล็อกเต็มที่ — ทำได้ทุกอย่างรวมทั้งลบ (ของไปถังขยะ กู้คืนได้),ปลดล็อกเต็มที่ — ทำได้ทุกอย่างรวมทั้งลบ (ของไปถังขยะ กู้คืนได้),
ui.aiProvider.add,,plus,,➕ เพิ่ม,เพิ่ม,➕ เพิ่ม,เพิ่ม,
ui.aiProvider.addProvider,,plus,,➕ เพิ่มผู้ให้บริการ,เพิ่มผู้ให้บริการ,➕ เพิ่มผู้ให้บริการ,เพิ่มผู้ให้บริการ,
ui.aiProvider.edit,,edit,,✎ แก้ไข,แก้ไข,✎ แก้ไข,แก้ไข,
ui.aiProvider.editProvider,,edit,,✎ แก้ไขผู้ให้บริการ,แก้ไขผู้ให้บริการ,✎ แก้ไขผู้ให้บริการ,แก้ไขผู้ให้บริการ,
ui.aiProvider.notHasProviderPress,,,,ยังไม่มีผู้ให้บริการ — กด ➕ เพิ่ม แล้วกรอกชื่อ · Credential · เลือกโมเดล · ตั้งพารามิเตอร์,ยังไม่มีผู้ให้บริการ — กด ➕ เพิ่ม แล้วกรอกชื่อ · Credential · เลือกโมเดล · ตั้งพารามิเตอร์,ยังไม่มีผู้ให้บริการ — กด ➕ เพิ่ม แล้วกรอกชื่อ · Credential · เลือกโมเดล · ตั้งพารามิเตอร์,ยังไม่มีผู้ให้บริการ — กด ➕ เพิ่ม แล้วกรอกชื่อ · Credential · เลือกโมเดล · ตั้งพารามิเตอร์,ไอคอน ➕ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.aiProvider.saveCredentialDoneKey,,check-circle,,✅ บันทึก Credential แล้ว (คีย์เก็บแยกที่ ,บันทึก Credential แล้ว (คีย์เก็บแยกที่,✅ บันทึก Credential แล้ว (คีย์เก็บแยกที่ ,บันทึก Credential แล้ว (คีย์เก็บแยกที่,
ui.aiProvider.testConnect,,plug,,🔌 ทดสอบการเชื่อมต่อ,ทดสอบการเชื่อมต่อ,🔌 ทดสอบการเชื่อมต่อ,ทดสอบการเชื่อมต่อ,
ui.aiSession.enterSendShiftEnter,,,,Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด,Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด,Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด,Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด,คีย์ลัด Shift+Enter ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.aiSession.shiftEnterSendEnter,,,,Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด,Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด,Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด,Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด,คีย์ลัด Shift+Enter ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.aiSet.aICantPickProvider,,x,,❌ AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI),AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI),❌ AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI),AI: ยังไม่ได้เลือกผู้ให้บริการ (ไฟล์ → ตั้งค่า AI),
ui.aiSet.aIConnectOk,,check-circle,,✅ AI: เชื่อมต่อสำเร็จ,AI: เชื่อมต่อสำเร็จ,✅ AI: เชื่อมต่อสำเร็จ,AI: เชื่อมต่อสำเร็จ,
ui.aiSet.aITestFail,,x,,❌ AI: ทดสอบล้มเหลว,AI: ทดสอบล้มเหลว,❌ AI: ทดสอบล้มเหลว,AI: ทดสอบล้มเหลว,
ui.aiSet.cantSettingsAIFile,,x,,❌ ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI,ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI,❌ ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI,ยังไม่ได้ตั้งค่า AI — ไฟล์ → ตั้งค่า AI,
ui.aiSet.connectAICant,,x,,❌ เชื่อมต่อ AI ไม่ได้: ,เชื่อมต่อ AI ไม่ได้:,❌ เชื่อมต่อ AI ไม่ได้: ,เชื่อมต่อ AI ไม่ได้:,
ui.aiSet.testConnect,,plug,,🔌 ทดสอบเชื่อมต่อ,ทดสอบเชื่อมต่อ,🔌 ทดสอบเชื่อมต่อ,ทดสอบเชื่อมต่อ,
ui.aiSum.aISummaryBody,,bot,,🤖 AI สรุปเนื้อหา,AI สรุปเนื้อหา,🤖 AI สรุปเนื้อหา,AI สรุปเนื้อหา,
ui.aiSum.aISummaryBody2,,bot,,🤖 AI สรุปเนื้อหา — ,AI สรุปเนื้อหา —,🤖 AI สรุปเนื้อหา — ,AI สรุปเนื้อหา —,
ui.aiSum.resultSave,,pin,,📌 ผลที่บันทึกไว้เมื่อ ,ผลที่บันทึกไว้เมื่อ,📌 ผลที่บันทึกไว้เมื่อ ,ผลที่บันทึกไว้เมื่อ,
ui.aiSum.suggestBeforePage,,history,,🕘 เคยแนะนำไว้ก่อนหน้า,เคยแนะนำไว้ก่อนหน้า,🕘 เคยแนะนำไว้ก่อนหน้า,เคยแนะนำไว้ก่อนหน้า,
ui.aiSum.suggestName,,magic,,✨ แนะนำชื่อ{0},แนะนำชื่อ{0},✨ แนะนำชื่อ{0},แนะนำชื่อ{0},
ui.aiSum.suggestName2,,magic,,"✨ แนะนำชื่อ{0} — ""{1}""","แนะนำชื่อ{0} — ""{1}""","✨ แนะนำชื่อ{0} — ""{1}""","แนะนำชื่อ{0} — ""{1}""",
ui.aiSum.summaryNew,,refresh,,🔄 สรุปใหม่,สรุปใหม่,🔄 สรุปใหม่,สรุปใหม่,
ui.aiSum.tryNew,,refresh,,🔄 ลองใหม่,ลองใหม่,🔄 ลองใหม่,ลองใหม่,
ui.aiSyn.busyAIWrite,,magic,,✨ กำลังให้ AI เขียน,กำลังให้ AI เขียน,✨ กำลังให้ AI เขียน,กำลังให้ AI เขียน,
ui.aiSyn.fill,,magic,,✨ เติม,เติม,✨ เติม,เติม,
ui.aiTools.del,,error,, ⚠ ลบของ,ลบของ, ⚠ ลบของ,ลบของ,
ui.allShortcutsTitle,,keyboard,,⌨ ปุ่มลัดทั้งหมด,ปุ่มลัดทั้งหมด,Keyboard Shortcuts,Keyboard Shortcuts,
ui.app.addBookNew,,book,,📗 เพิ่มเล่มใหม่…,เพิ่มเล่มใหม่…,📗 เพิ่มเล่มใหม่…,เพิ่มเล่มใหม่…,
ui.app.back,,page-break,,▤ กลับไปฟอร์ม,กลับไปฟอร์ม,▤ กลับไปฟอร์ม,กลับไปฟอร์ม,
ui.app.backSceneNormalMerge,,file,,📄 กลับเป็นฉากปกติ (รวมตอนส่งออก),กลับเป็นฉากปกติ (รวมตอนส่งออก),📄 กลับเป็นฉากปกติ (รวมตอนส่งออก),กลับเป็นฉากปกติ (รวมตอนส่งออก),
ui.app.backVersionLatestSave,,return,,↩ กลับไปยังเวอร์ชันล่าสุดที่บันทึก,กลับไปยังเวอร์ชันล่าสุดที่บันทึก,↩ กลับไปยังเวอร์ชันล่าสุดที่บันทึก,กลับไปยังเวอร์ชันล่าสุดที่บันทึก,
ui.app.bindCardDocProject,,folder,,📁 ผูกการ์ดกับเอกสารในโปรเจกต์,ผูกการ์ดกับเอกสารในโปรเจกต์,📁 ผูกการ์ดกับเอกสารในโปรเจกต์,ผูกการ์ดกับเอกสารในโปรเจกต์,
ui.app.boardItemHideItem,,search,,🔍 กระดาน {0} ใบถูกซ่อนด้วยตัวกรอง — ล้างช่องค้นหาเพื่อดูทั้งหมด,กระดาน {0} ใบถูกซ่อนด้วยตัวกรอง — ล้างช่องค้นหาเพื่อดูทั้งหมด,🔍 กระดาน {0} ใบถูกซ่อนด้วยตัวกรอง — ล้างช่องค้นหาเพื่อดูทั้งหมด,กระดาน {0} ใบถูกซ่อนด้วยตัวกรอง — ล้างช่องค้นหาเพื่อดูทั้งหมด,
ui.app.boardPlanner2,,clipboard,,📋 กระดานวางแผน ({0}),กระดานวางแผน ({0}),📋 กระดานวางแผน ({0}),กระดานวางแผน ({0}),
ui.app.boardPlannerReadCant,,clipboard,,📋 กระดานวางแผน (อ่านไม่ได้),กระดานวางแผน (อ่านไม่ได้),📋 กระดานวางแผน (อ่านไม่ได้),กระดานวางแผน (อ่านไม่ได้),
ui.app.changeNoteNotMerge,,note,,📝 เปลี่ยนเป็นโน้ต (ไม่รวมตอนส่งออก),เปลี่ยนเป็นโน้ต (ไม่รวมตอนส่งออก),📝 เปลี่ยนเป็นโน้ต (ไม่รวมตอนส่งออก),เปลี่ยนเป็นโน้ต (ไม่รวมตอนส่งออก),
ui.app.chapterFilm2,,,chevron-down, บทหนัง ▾, บทหนัง, บทหนัง ▾, บทหนัง,
ui.app.checkDone,,check-circle,chevron-down,✅ ตรวจแล้ว ▾,ตรวจแล้ว,✅ ตรวจแล้ว ▾,ตรวจแล้ว,
ui.app.checkNew,,refresh,,🔄 ตรวจใหม่,ตรวจใหม่,🔄 ตรวจใหม่,ตรวจใหม่,
ui.app.clearResult,,broom,,🧹 ล้างผล,ล้างผล,🧹 ล้างผล,ล้างผล,
ui.app.clickPickFormatCtrl,,,,คลิกเลือกรูปแบบ · หรือ Ctrl+↑/↓ สลับ,คลิกเลือกรูปแบบ · หรือ Ctrl+↑/↓ สลับ,คลิกเลือกรูปแบบ · หรือ Ctrl+↑/↓ สลับ,คลิกเลือกรูปแบบ · หรือ Ctrl+↑/↓ สลับ,คีย์ลัด Ctrl+↑/↓ ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.app.color,,,chevron-right,สี ▸,สี,สี ▸,สี,
ui.app.commentPanel,,chat,,💬 คอมเมนต์ (แผง),คอมเมนต์ (แผง),💬 คอมเมนต์ (แผง),คอมเมนต์ (แผง),
ui.app.comparePlanOther,,swap,,⇋ เทียบกับแผนอื่น…,เทียบกับแผนอื่น…,⇋ เทียบกับแผนอื่น…,เทียบกับแผนอื่น…,
ui.app.compareVersion2,,swap,,⇋ เทียบเวอร์ชัน,เทียบเวอร์ชัน,⇋ เทียบเวอร์ชัน,เทียบเวอร์ชัน,
ui.app.compareVersion3,,swap,,⇋ เทียบเวอร์ชัน…,เทียบเวอร์ชัน…,⇋ เทียบเวอร์ชัน…,เทียบเวอร์ชัน…,
ui.app.consoleDev,,wrench,,🛠 คอนโซลนักพัฒนา,คอนโซลนักพัฒนา,🛠 คอนโซลนักพัฒนา,คอนโซลนักพัฒนา,
ui.app.copyResult,,clipboard,,📋 คัดลอกผล,คัดลอกผล,📋 คัดลอกผล,คัดลอกผล,
ui.app.ctrlEnter,,play,,▶ รัน (Ctrl+Enter),รัน,▶ รัน (Ctrl+Enter),รัน,ตัดคีย์ลัดท้าย (Ctrl+Enter) — ให้ UI เติมจาก commands.csv
ui.app.dataSystem,,info,,ℹ ข้อมูลระบบ,ข้อมูลระบบ,ℹ ข้อมูลระบบ,ข้อมูลระบบ,
ui.app.delElementDoneCancel,,,,ลบ {0} element แล้ว (ยกเลิกได้ด้วย Ctrl+Z),ลบ {0} element แล้ว,ลบ {0} element แล้ว (ยกเลิกได้ด้วย Ctrl+Z),ลบ {0} element แล้ว,ตัดคีย์ลัดท้าย (ยกเลิกได้ด้วย Ctrl+Z) — ให้ UI เติมจาก commands.csv
ui.app.delElementTypePick,,,,"<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย Ctrl+Z)</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>","<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย {sc:editor-undo})</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>","<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย Ctrl+Z)</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>","<div class=""k-dlg-title"">ลบ element ตามประเภท</div>
    <div class=""k-hint"" style=""margin-bottom:10px"">เลือกประเภท element ที่ต้องการลบทั้งหมดออกจากบท
      <br>(นับเฉพาะบรรทัดที่มีเนื้อหา — บรรทัดว่างไม่ถูกแตะ · ยกเลิกได้ด้วย {sc:editor-undo})</div>
    <div id=""rm-el-list""></div>
    <div style=""margin-top:8px""><a href=""#"" id=""rm-el-all"">เลือกทั้งหมด</a> · <a href=""#"" id=""rm-el-none"">ไม่เลือก</a></div>
    <div class=""k-dlg-total dim"" style=""margin-top:8px""></div>
    <div class=""k-dlg-btns""><button class=""k-cancel"">{0}</button><button class=""k-ok k-danger"" disabled>ลบ</button></div>",
ui.app.delFolder,,trash,,🗑 ลบโฟลเดอร์,ลบโฟลเดอร์,🗑 ลบโฟลเดอร์,ลบโฟลเดอร์,
ui.app.doneOpenBackChapter,,,,"""{0}"" ให้แล้ว (เปิดกลับได้ที่ บท → 🔠 ตัวพิมพ์ใหญ่/เล็ก)","""{0}"" ให้แล้ว (เปิดกลับได้ที่ บท → 🔠 ตัวพิมพ์ใหญ่/เล็ก)","""{0}"" ให้แล้ว (เปิดกลับได้ที่ บท → 🔠 ตัวพิมพ์ใหญ่/เล็ก)","""{0}"" ให้แล้ว (เปิดกลับได้ที่ บท → 🔠 ตัวพิมพ์ใหญ่/เล็ก)",ไอคอน 🔠 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.app.findDiskFindOn,,folder-open,,📂 หาในดิสก์ (Find on disk),หาในดิสก์ (Find on disk),📂 หาในดิสก์ (Find on disk),หาในดิสก์ (Find on disk),
ui.app.graphBreakBranch2,,branch,,🌿 แผนผังแตกสาย ({0}),แผนผังแตกสาย ({0}),🌿 แผนผังแตกสาย ({0}),แผนผังแตกสาย ({0}),
ui.app.graphDialogueNextPage,,chart,,📊 กราฟบทพูดต่อหน้า,กราฟบทพูดต่อหน้า,📊 กราฟบทพูดต่อหน้า,กราฟบทพูดต่อหน้า,
ui.app.hasPendingFileCtrl,,,,มีงานค้าง {0} ไฟล์ (Ctrl+Alt+S เพื่อบันทึกทั้งหมด),มีงานค้าง {0} ไฟล์,มีงานค้าง {0} ไฟล์ (Ctrl+Alt+S เพื่อบันทึกทั้งหมด),มีงานค้าง {0} ไฟล์,ตัดคีย์ลัดท้าย (Ctrl+Alt+S เพื่อบันทึกทั้งหมด) — ให้ UI เติมจาก commands.csv
ui.app.hearOpenModeTypewriter,,,, (จะได้ยินเมื่อเปิดโหมดเครื่องพิมพ์ดีด — Ctrl+Shift+T),, (จะได้ยินเมื่อเปิดโหมดเครื่องพิมพ์ดีด — Ctrl+Shift+T),,ตัดคีย์ลัดท้าย (จะได้ยินเมื่อเปิดโหมดเครื่องพิมพ์ดีด — Ctrl+Shift+T) — ให้ UI เติมจาก commands.csv
ui.app.history,,history,,🕘 ประวัติ,ประวัติ,🕘 ประวัติ,ประวัติ,
ui.app.historyVersion2,,history,,🕘 ประวัติเวอร์ชัน…,ประวัติเวอร์ชัน…,🕘 ประวัติเวอร์ชัน…,ประวัติเวอร์ชัน…,
ui.app.libraryImage,,image,,🖼 คลังรูป ({0}),คลังรูป ({0}),🖼 คลังรูป ({0}),คลังรูป ({0}),
ui.app.libraryImage2,,image,,🖼 คลังรูปภาพ,คลังรูปภาพ,🖼 คลังรูปภาพ,คลังรูปภาพ,
ui.app.lineLatest,,download,,⤓ ตามบรรทัดล่าสุด,ตามบรรทัดล่าสุด,⤓ ตามบรรทัดล่าสุด,ตามบรรทัดล่าสุด,
ui.app.lineTime,,time,,🕒 เส้นเวลา…,เส้นเวลา…,🕒 เส้นเวลา…,เส้นเวลา…,
ui.app.lockEditCant,,lock,, 🔒 ล็อกอยู่ (แก้ไม่ได้),ล็อกอยู่ (แก้ไม่ได้), 🔒 ล็อกอยู่ (แก้ไม่ได้),ล็อกอยู่ (แก้ไม่ได้),
ui.app.lockEditCant2,,lock,,🔒 ล็อก (แก้ไม่ได้),ล็อก (แก้ไม่ได้),🔒 ล็อก (แก้ไม่ได้),ล็อก (แก้ไม่ได้),
ui.app.lockScene,,lock-open,, 🔓 ล็อกฉากนี้,ล็อกฉากนี้, 🔓 ล็อกฉากนี้,ล็อกฉากนี้,
ui.app.lockSceneDoneEdit,,lock,,🔒 ล็อกฉากแล้ว (แก้ไม่ได้จนปลดล็อก),ล็อกฉากแล้ว (แก้ไม่ได้จนปลดล็อก),🔒 ล็อกฉากแล้ว (แก้ไม่ได้จนปลดล็อก),ล็อกฉากแล้ว (แก้ไม่ได้จนปลดล็อก),
ui.app.manageBook,,book-content,,📚 จัดการเล่ม…,จัดการเล่ม…,📚 จัดการเล่ม…,จัดการเล่ม…,
